,species,genus,family,species.relative,genus.relative
1,Acanthopale confertiflora,Acanthopale,Acanthaceae,NA,Acanthopale
2,Acanthopale decempedalis,Acanthopale,Acanthaceae,NA,Acanthopale
3,Acanthopale laxiflora,Acanthopale,Acanthaceae,NA,Acanthopale
4,Acanthopale pubescens,Acanthopale,Acanthaceae,NA,Acanthopale
5,Acanthopsis disperma,Acanthopsis,Acanthaceae,NA,Acanthopsis
6,Acanthus eminens,Acanthus,Acanthaceae,NA,Acanthus
7,Acanthus guineensis,Acanthus,Acanthaceae,NA,Acanthus
8,Acanthus kulalensis,Acanthus,Acanthaceae,NA,Acanthus
9,Acanthus latisepalus,Acanthus,Acanthaceae,NA,Acanthus
10,Acanthus mayaccanus,Acanthus,Acanthaceae,NA,Acanthus
11,Acanthus montanus,Acanthus,Acanthaceae,NA,Acanthus
12,Acanthus polystachyus,Acanthus,Acanthaceae,NA,Acanthus
13,Acanthus sennii,Acanthus,Acanthaceae,NA,Acanthus
14,Acanthus seretii,Acanthus,Acanthaceae,NA,Acanthus
15,Acanthus ueleensis,Acanthus,Acanthaceae,NA,Acanthus
16,Adhatoda bolomboensis,Adhatoda,Acanthaceae,NA,Adhatoda
17,Adhatoda buchholzii,Adhatoda,Acanthaceae,NA,Adhatoda
18,Adhatoda camerunensis,Adhatoda,Acanthaceae,NA,Adhatoda
19,Adhatoda le-testui,Adhatoda,Acanthaceae,NA,Adhatoda
20,Adhatoda maculata,Adhatoda,Acanthaceae,NA,Adhatoda
21,Adhatoda schimperiana,Adhatoda,Acanthaceae,NA,Adhatoda
22,Adhatoda tristis,Adhatoda,Acanthaceae,NA,Adhatoda
23,Afrofittonia silvestris,Afrofittonia,Acanthaceae,NA,Afrofittonia
24,Anisosepalum alboviolaceum,Anisosepalum,Acanthaceae,NA,Anisosepalum
25,Anisosepalum humbertii,Anisosepalum,Acanthaceae,NA,Anisosepalum
26,Anisosepalum lewallei,Anisosepalum,Acanthaceae,NA,Anisosepalum
27,Anisotes bracteatus,Anisotes,Acanthaceae,NA,Anisotes
28,Anisotes dumosus,Anisotes,Acanthaceae,NA,Anisotes
29,Anisotes formosissimus,Anisotes,Acanthaceae,NA,Anisotes
30,Anisotes guineensis,Anisotes,Acanthaceae,NA,Anisotes
31,Anisotes involucratus,Anisotes,Acanthaceae,NA,Anisotes
32,Anisotes macrophyllus,Anisotes,Acanthaceae,NA,Anisotes
33,Anisotes nyassae,Anisotes,Acanthaceae,NA,Anisotes
34,Anisotes parvifolius,Anisotes,Acanthaceae,NA,Anisotes
35,Anisotes pubinervis,Anisotes,Acanthaceae,NA,Anisotes
36,Anisotes rogersii,Anisotes,Acanthaceae,NA,Anisotes
37,Anisotes sessiliflorus,Anisotes,Acanthaceae,NA,Anisotes
38,Anisotes spec.nov.,Anisotes,Acanthaceae,NA,Anisotes
39,Anisotes spectabilis,Anisotes,Acanthaceae,NA,Anisotes
40,Anisotes tanensis,Anisotes,Acanthaceae,NA,Anisotes
41,Anisotes trisulcus,Anisotes,Acanthaceae,NA,Anisotes
42,Anisotes ukambensis,Anisotes,Acanthaceae,NA,Anisotes
43,Anisotes umbrosus,Anisotes,Acanthaceae,NA,Anisotes
44,Anisotes zenkeri,Anisotes,Acanthaceae,NA,Anisotes
45,Anomacanthus congolanus,Anomacanthus,Acanthaceae,NA,Anomacanthus
46,Ascotheca paucinervia,Ascotheca,Acanthaceae,NA,Ascotheca
47,Asystasia africana,Asystasia,Acanthaceae,NA,Asystasia
48,Asystasia albiflora,Asystasia,Acanthaceae,NA,Asystasia
49,Asystasia ammophila,Asystasia,Acanthaceae,NA,Asystasia
50,Asystasia ansellioides,Asystasia,Acanthaceae,NA,Asystasia
51,Asystasia buettneri,Asystasia,Acanthaceae,NA,Asystasia
52,Asystasia charmian,Asystasia,Acanthaceae,NA,Asystasia
53,Asystasia congensis,Asystasia,Acanthaceae,NA,Asystasia
54,Asystasia drake-brockmanii,Asystasia,Acanthaceae,NA,Asystasia
55,Asystasia excellens,Asystasia,Acanthaceae,NA,Asystasia
56,Asystasia fragilis,Asystasia,Acanthaceae,NA,Asystasia
57,Asystasia gangetica,Asystasia,Acanthaceae,NA,Asystasia
58,Asystasia glandulifera,Asystasia,Acanthaceae,NA,Asystasia
59,Asystasia glandulosa,Asystasia,Acanthaceae,NA,Asystasia
60,Asystasia guttata,Asystasia,Acanthaceae,NA,Asystasia
61,Asystasia hedbergii,Asystasia,Acanthaceae,NA,Asystasia
62,Asystasia laticapsula,Asystasia,Acanthaceae,NA,Asystasia
63,Asystasia leptostachya,Asystasia,Acanthaceae,NA,Asystasia
64,Asystasia lindauiana,Asystasia,Acanthaceae,NA,Asystasia
65,Asystasia linearis,Asystasia,Acanthaceae,NA,Asystasia
66,Asystasia macrophylla,Asystasia,Acanthaceae,NA,Asystasia
67,Asystasia malawiana,Asystasia,Acanthaceae,NA,Asystasia
68,Asystasia minutiflora,Asystasia,Acanthaceae,NA,Asystasia
69,Asystasia moorei,Asystasia,Acanthaceae,NA,Asystasia
70,Asystasia mysurensis,Asystasia,Acanthaceae,NA,Asystasia
71,Asystasia peregrina,Asystasia,Acanthaceae,NA,Asystasia
72,Asystasia richardsiae,Asystasia,Acanthaceae,NA,Asystasia
73,Asystasia riparia,Asystasia,Acanthaceae,NA,Asystasia
74,Asystasia scandens,Asystasia,Acanthaceae,NA,Asystasia
75,Asystasia schimperi,Asystasia,Acanthaceae,NA,Asystasia
76,Asystasia schliebenii,Asystasia,Acanthaceae,NA,Asystasia
77,Asystasia tanzaniensis,Asystasia,Acanthaceae,NA,Asystasia
78,Asystasia upembensis,Asystasia,Acanthaceae,NA,Asystasia
79,Asystasia vogeliana,Asystasia,Acanthaceae,NA,Asystasia
80,Asystasia welwitschii,Asystasia,Acanthaceae,NA,Asystasia
81,Asystasia zambiana,Asystasia,Acanthaceae,NA,Asystasia
82,Asystasia zenkeri,Asystasia,Acanthaceae,NA,Asystasia
83,Avicennia germinans,Avicennia,Acanthaceae,NA,Avicennia
84,Avicennia marina,Avicennia,Acanthaceae,NA,Avicennia
85,Barleria acanthoides,Barleria,Acanthaceae,NA,Barleria
86,Barleria aenea,Barleria,Acanthaceae,NA,Barleria
87,Barleria alata,Barleria,Acanthaceae,NA,Barleria
88,Barleria albomarginata,Barleria,Acanthaceae,NA,Barleria
89,Barleria albostellata,Barleria,Acanthaceae,NA,Barleria
90,Barleria amanensis,Barleria,Acanthaceae,NA,Barleria
91,Barleria angustiloba,Barleria,Acanthaceae,NA,Barleria
92,Barleria argentea,Barleria,Acanthaceae,NA,Barleria
93,Barleria aristata,Barleria,Acanthaceae,NA,Barleria
94,Barleria boehmii,Barleria,Acanthaceae,NA,Barleria
95,Barleria bornuensis,Barleria,Acanthaceae,NA,Barleria
96,Barleria brownii,Barleria,Acanthaceae,NA,Barleria
97,Barleria burgeri,Barleria,Acanthaceae,NA,Barleria
98,Barleria calophylla,Barleria,Acanthaceae,NA,Barleria
99,Barleria calophylloides,Barleria,Acanthaceae,NA,Barleria
100,Barleria capitata,Barleria,Acanthaceae,NA,Barleria
101,Barleria cinerea,Barleria,Acanthaceae,NA,Barleria
102,Barleria cinnabarina,Barleria,Acanthaceae,NA,Barleria
103,Barleria crassa,Barleria,Acanthaceae,NA,Barleria
104,Barleria delamerei,Barleria,Acanthaceae,NA,Barleria
105,Barleria dentata,Barleria,Acanthaceae,NA,Barleria
106,Barleria descampsii,Barleria,Acanthaceae,NA,Barleria
107,Barleria diacanthus,Barleria,Acanthaceae,NA,Barleria
108,Barleria diffusa,Barleria,Acanthaceae,NA,Barleria
109,Barleria dinteri,Barleria,Acanthaceae,NA,Barleria
110,Barleria elegans,Barleria,Acanthaceae,NA,Barleria
111,Barleria eranthemoides,Barleria,Acanthaceae,NA,Barleria
112,Barleria fulvostellata,Barleria,Acanthaceae,NA,Barleria
113,Barleria galpinii,Barleria,Acanthaceae,NA,Barleria
114,Barleria glutinosa,Barleria,Acanthaceae,NA,Barleria
115,Barleria granarii,Barleria,Acanthaceae,NA,Barleria
116,Barleria grandicalyx,Barleria,Acanthaceae,NA,Barleria
117,Barleria grandipetala,Barleria,Acanthaceae,NA,Barleria
118,Barleria grandis,Barleria,Acanthaceae,NA,Barleria
119,Barleria grantii,Barleria,Acanthaceae,NA,Barleria
120,Barleria griseoviridis,Barleria,Acanthaceae,NA,Barleria
121,Barleria gueinzii,Barleria,Acanthaceae,NA,Barleria
122,Barleria heterotricha,Barleria,Acanthaceae,NA,Barleria
123,Barleria hildebrandtii,Barleria,Acanthaceae,NA,Barleria
124,Barleria hirta,Barleria,Acanthaceae,NA,Barleria
125,Barleria hochstetteri,Barleria,Acanthaceae,NA,Barleria
126,Barleria holstii,Barleria,Acanthaceae,NA,Barleria
127,Barleria inclusa,Barleria,Acanthaceae,NA,Barleria
128,Barleria kacondensis,Barleria,Acanthaceae,NA,Barleria
129,Barleria kaessneri,Barleria,Acanthaceae,NA,Barleria
130,Barleria kaloxytona,Barleria,Acanthaceae,NA,Barleria
131,Barleria laceratiflora,Barleria,Acanthaceae,NA,Barleria
132,Barleria lactiflora,Barleria,Acanthaceae,NA,Barleria
133,Barleria lanceolata,Barleria,Acanthaceae,NA,Barleria
134,Barleria lancifolia,Barleria,Acanthaceae,NA,Barleria
135,Barleria lichtensteiniana,Barleria,Acanthaceae,NA,Barleria
136,Barleria lobelioides,Barleria,Acanthaceae,NA,Barleria
137,Barleria longissima,Barleria,Acanthaceae,NA,Barleria
138,Barleria lugardii,Barleria,Acanthaceae,NA,Barleria
139,Barleria lukafuensis,Barleria,Acanthaceae,NA,Barleria
140,Barleria lukei,Barleria,Acanthaceae,NA,Barleria
141,Barleria lukwangulensis,Barleria,Acanthaceae,NA,Barleria
142,Barleria mackenii,Barleria,Acanthaceae,NA,Barleria
143,Barleria maclaudii,Barleria,Acanthaceae,NA,Barleria
144,Barleria macrostegia,Barleria,Acanthaceae,NA,Barleria
145,Barleria maculata,Barleria,Acanthaceae,NA,Barleria
146,Barleria marginata,Barleria,Acanthaceae,NA,Barleria
147,Barleria matopensis,Barleria,Acanthaceae,NA,Barleria
148,Barleria merxmuelleri,Barleria,Acanthaceae,NA,Barleria
149,Barleria meyeriana,Barleria,Acanthaceae,NA,Barleria
150,Barleria micrantha,Barleria,Acanthaceae,NA,Barleria
151,Barleria molensis,Barleria,Acanthaceae,NA,Barleria
152,Barleria monticola,Barleria,Acanthaceae,NA,Barleria
153,Barleria mpandensis,Barleria,Acanthaceae,NA,Barleria
154,Barleria mucronifolia,Barleria,Acanthaceae,NA,Barleria
155,Barleria neurophylla,Barleria,Acanthaceae,NA,Barleria
156,Barleria nyasensis,Barleria,Acanthaceae,NA,Barleria
157,Barleria obtecta,Barleria,Acanthaceae,NA,Barleria
158,Barleria obtusa,Barleria,Acanthaceae,NA,Barleria
159,Barleria oenotheroides,Barleria,Acanthaceae,NA,Barleria
160,Barleria opaca,Barleria,Acanthaceae,NA,Barleria
161,Barleria orbicularis,Barleria,Acanthaceae,NA,Barleria
162,Barleria oxyphylla,Barleria,Acanthaceae,NA,Barleria
163,Barleria paolii,Barleria,Acanthaceae,NA,Barleria
164,Barleria parviflora,Barleria,Acanthaceae,NA,Barleria
165,Barleria pauciflora,Barleria,Acanthaceae,NA,Barleria
166,Barleria phaylopsis,Barleria,Acanthaceae,NA,Barleria
167,Barleria polyneura,Barleria,Acanthaceae,NA,Barleria
168,Barleria prionitis,Barleria,Acanthaceae,NA,Barleria
169,Barleria proxima,Barleria,Acanthaceae,NA,Barleria
170,Barleria pseudolinearifolia,Barleria,Acanthaceae,NA,Barleria
171,Barleria pseudosomalia,Barleria,Acanthaceae,NA,Barleria
172,Barleria quadrispina,Barleria,Acanthaceae,NA,Barleria
173,Barleria ramulosa,Barleria,Acanthaceae,NA,Barleria
174,Barleria repens,Barleria,Acanthaceae,NA,Barleria
175,Barleria rhynchocarpa,Barleria,Acanthaceae,NA,Barleria
176,Barleria richardsiae,Barleria,Acanthaceae,NA,Barleria
177,Barleria rigida,Barleria,Acanthaceae,NA,Barleria
178,Barleria rogersii,Barleria,Acanthaceae,NA,Barleria
179,Barleria ruellioides,Barleria,Acanthaceae,NA,Barleria
180,Barleria sacleuxii,Barleria,Acanthaceae,NA,Barleria
181,Barleria scandens,Barleria,Acanthaceae,NA,Barleria
182,Barleria sceptrum-katanganum,Barleria,Acanthaceae,NA,Barleria
183,Barleria senensis,Barleria,Acanthaceae,NA,Barleria
184,Barleria setigera,Barleria,Acanthaceae,NA,Barleria
185,Barleria solitaria,Barleria,Acanthaceae,NA,Barleria
186,Barleria spec.nov. = Mesfin 2347,Barleria,Acanthaceae,NA,Barleria
187,Barleria spec.nov.= gilbert 8205,Barleria,Acanthaceae,NA,Barleria
188,Barleria spinulosa,Barleria,Acanthaceae,NA,Barleria
189,Barleria splendens,Barleria,Acanthaceae,NA,Barleria
190,Barleria stelligera,Barleria,Acanthaceae,NA,Barleria
191,Barleria steudneri,Barleria,Acanthaceae,NA,Barleria
192,Barleria stuhlmannii,Barleria,Acanthaceae,NA,Barleria
193,Barleria subglobosa,Barleria,Acanthaceae,NA,Barleria
194,Barleria submollis,Barleria,Acanthaceae,NA,Barleria
195,Barleria superata,Barleria,Acanthaceae,NA,Barleria
196,Barleria taitensis,Barleria,Acanthaceae,NA,Barleria
197,Barleria tanzaniana,Barleria,Acanthaceae,NA,Barleria
198,Barleria trispinosa,Barleria,Acanthaceae,NA,Barleria
199,Barleria usambarica,Barleria,Acanthaceae,NA,Barleria
200,Barleria velutina,Barleria,Acanthaceae,NA,Barleria
201,Barleria ventricosa,Barleria,Acanthaceae,NA,Barleria
202,Barleria verdickii,Barleria,Acanthaceae,NA,Barleria
203,Barleria villosa,Barleria,Acanthaceae,NA,Barleria
204,Barleria volkensii,Barleria,Acanthaceae,NA,Barleria
205,Barleria vollesenii,Barleria,Acanthaceae,NA,Barleria
206,Barleria whytei,Barleria,Acanthaceae,NA,Barleria
207,Barleria wilmsiana,Barleria,Acanthaceae,NA,Barleria
208,Barleria wilmsii,Barleria,Acanthaceae,NA,Barleria
209,Barleria buxifolia,Barleria,Acanthaceae,NA,Barleria
210,Barleria schmitti,Barleria,Acanthaceae,NA,Barleria
211,Barleria lanceata,Barleria,Acanthaceae,NA,Barleria
212,Blepharis acanthodioides,Blepharis,Acanthaceae,NA,Blepharis
213,Blepharis acuminata,Blepharis,Acanthaceae,NA,Blepharis
214,Blepharis affinis,Blepharis,Acanthaceae,NA,Blepharis
215,Blepharis asteracantha,Blepharis,Acanthaceae,NA,Blepharis
216,Blepharis bainesii,Blepharis,Acanthaceae,NA,Blepharis
217,Blepharis boranensis,Blepharis,Acanthaceae,NA,Blepharis
218,Blepharis buchneri,Blepharis,Acanthaceae,NA,Blepharis
219,Blepharis burundiensis,Blepharis,Acanthaceae,NA,Blepharis
220,Blepharis capensis,Blepharis,Acanthaceae,NA,Blepharis
221,Blepharis chrysotricha,Blepharis,Acanthaceae,NA,Blepharis
222,Blepharis ciliaris,Blepharis,Acanthaceae,NA,Blepharis
223,Blepharis cuanzensis,Blepharis,Acanthaceae,NA,Blepharis
224,Blepharis diversispina,Blepharis,Acanthaceae,NA,Blepharis
225,Blepharis dunensis,Blepharis,Acanthaceae,NA,Blepharis
226,Blepharis duvigneaudii,Blepharis,Acanthaceae,NA,Blepharis
227,Blepharis edulis,Blepharis,Acanthaceae,NA,Blepharis
228,Blepharis espinosa,Blepharis,Acanthaceae,NA,Blepharis
229,Blepharis furcata,Blepharis,Acanthaceae,NA,Blepharis
230,Blepharis glumacea,Blepharis,Acanthaceae,NA,Blepharis
231,Blepharis grandis,Blepharis,Acanthaceae,NA,Blepharis
232,Blepharis hildebrandtii,Blepharis,Acanthaceae,NA,Blepharis
233,Blepharis ilicifolia,Blepharis,Acanthaceae,NA,Blepharis
234,Blepharis inflata,Blepharis,Acanthaceae,NA,Blepharis
235,Blepharis innocua,Blepharis,Acanthaceae,NA,Blepharis
236,Blepharis inopinata,Blepharis,Acanthaceae,NA,Blepharis
237,Blepharis integrifolia,Blepharis,Acanthaceae,NA,Blepharis
238,Blepharis involucrata,Blepharis,Acanthaceae,NA,Blepharis
239,Blepharis itigiensis,Blepharis,Acanthaceae,NA,Blepharis
240,Blepharis katangensis,Blepharis,Acanthaceae,NA,Blepharis
241,Blepharis kenyensis,Blepharis,Acanthaceae,NA,Blepharis
242,Blepharis leendertziae,Blepharis,Acanthaceae,NA,Blepharis
243,Blepharis linariifolia,Blepharis,Acanthaceae,NA,Blepharis
244,Blepharis longifolia,Blepharis,Acanthaceae,NA,Blepharis
245,Blepharis macra,Blepharis,Acanthaceae,NA,Blepharis
246,Blepharis maderaspatensis,Blepharis,Acanthaceae,NA,Blepharis
247,Blepharis menocotyle,Blepharis,Acanthaceae,NA,Blepharis
248,Blepharis mitrata,Blepharis,Acanthaceae,NA,Blepharis
249,Blepharis montana,Blepharis,Acanthaceae,NA,Blepharis
250,Blepharis obermeyerae,Blepharis,Acanthaceae,NA,Blepharis
251,Blepharis obmitrata,Blepharis,Acanthaceae,NA,Blepharis
252,Blepharis panduriformis,Blepharis,Acanthaceae,NA,Blepharis
253,Blepharis petraea,Blepharis,Acanthaceae,NA,Blepharis
254,Blepharis pratensis,Blepharis,Acanthaceae,NA,Blepharis
255,Blepharis procumbens,Blepharis,Acanthaceae,NA,Blepharis
256,Blepharis pruinosa,Blepharis,Acanthaceae,NA,Blepharis
257,Blepharis pungens,Blepharis,Acanthaceae,NA,Blepharis
258,Blepharis pusilla,Blepharis,Acanthaceae,NA,Blepharis
259,Blepharis reekmansii,Blepharis,Acanthaceae,NA,Blepharis
260,Blepharis refracta,Blepharis,Acanthaceae,NA,Blepharis
261,Blepharis scandens,Blepharis,Acanthaceae,NA,Blepharis
262,Blepharis somaliensis,Blepharis,Acanthaceae,NA,Blepharis
263,Blepharis spinescens,Blepharis,Acanthaceae,NA,Blepharis
264,Blepharis stuhlmannii,Blepharis,Acanthaceae,NA,Blepharis
265,Blepharis subvolubilis,Blepharis,Acanthaceae,NA,Blepharis
266,Blepharis swaziensis,Blepharis,Acanthaceae,NA,Blepharis
267,Blepharis tanae,Blepharis,Acanthaceae,NA,Blepharis
268,Blepharis tanganyikensis,Blepharis,Acanthaceae,NA,Blepharis
269,Blepharis tanzaniensis,Blepharis,Acanthaceae,NA,Blepharis
270,Blepharis tenuiramea,Blepharis,Acanthaceae,NA,Blepharis
271,Blepharis thulinii,Blepharis,Acanthaceae,NA,Blepharis
272,Blepharis transvaalensis,Blepharis,Acanthaceae,NA,Blepharis
273,Blepharis trifida,Blepharis,Acanthaceae,NA,Blepharis
274,Blepharis trispina,Blepharis,Acanthaceae,NA,Blepharis
275,Blepharis uzondoensis,Blepharis,Acanthaceae,NA,Blepharis
276,Brachystephanus africanus,Brachystephanus,Acanthaceae,NA,Brachystephanus
277,Brachystephanus calostachyus,Brachystephanus,Acanthaceae,NA,Brachystephanus
278,Brachystephanus coeruleus,Brachystephanus,Acanthaceae,NA,Brachystephanus
279,Brachystephanus congensis,Brachystephanus,Acanthaceae,NA,Brachystephanus
280,Brachystephanus giganteus,Brachystephanus,Acanthaceae,NA,Brachystephanus
281,Brachystephanus holstii,Brachystephanus,Acanthaceae,NA,Brachystephanus
282,Brachystephanus jaundensis,Brachystephanus,Acanthaceae,NA,Brachystephanus
283,Brachystephanus kupeensis,Brachystephanus,Acanthaceae,NA,Brachystephanus
284,Brachystephanus longiflorus,Brachystephanus,Acanthaceae,NA,Brachystephanus
285,Brachystephanus mannii,Brachystephanus,Acanthaceae,NA,Brachystephanus
286,Brachystephanus montifuga,Brachystephanus,Acanthaceae,NA,Brachystephanus
287,Brachystephanus myrmecophilus,Brachystephanus,Acanthaceae,NA,Brachystephanus
288,Brachystephanus occidentalis,Brachystephanus,Acanthaceae,NA,Brachystephanus
289,Brachystephanus oreacanthus,Brachystephanus,Acanthaceae,NA,Brachystephanus
290,Brachystephanus roseus,Brachystephanus,Acanthaceae,NA,Brachystephanus
291,Brachystephanus schliebenii,Brachystephanus,Acanthaceae,NA,Brachystephanus
292,Brachystephanus sp. A,Brachystephanus,Acanthaceae,NA,Brachystephanus
293,Brachystephanus sudanicus,Brachystephanus,Acanthaceae,NA,Brachystephanus
294,Brillantaisia bauchiensis,Brillantaisia,Acanthaceae,NA,Brillantaisia
295,Brillantaisia cicatricosa,Brillantaisia,Acanthaceae,NA,Brillantaisia
296,Brillantaisia debilis,Brillantaisia,Acanthaceae,NA,Brillantaisia
297,Brillantaisia grottanellii,Brillantaisia,Acanthaceae,NA,Brillantaisia
298,Brillantaisia lamium,Brillantaisia,Acanthaceae,NA,Brillantaisia
299,Brillantaisia lancifolia,Brillantaisia,Acanthaceae,NA,Brillantaisia
300,Brillantaisia madagascariensis,Brillantaisia,Acanthaceae,NA,Brillantaisia
301,Brillantaisia oligantha,Brillantaisia,Acanthaceae,NA,Brillantaisia
302,Brillantaisia owariensis,Brillantaisia,Acanthaceae,NA,Brillantaisia
303,Brillantaisia pubescens,Brillantaisia,Acanthaceae,NA,Brillantaisia
304,Brillantaisia stenopteris,Brillantaisia,Acanthaceae,NA,Brillantaisia
305,Brillantaisia ulugurica,Brillantaisia,Acanthaceae,NA,Brillantaisia
306,Brillantaisia vogeliana,Brillantaisia,Acanthaceae,NA,Brillantaisia
307,Calliaspidia guttata,Calliaspidia,Acanthaceae,NA,Calliaspidia
308,Calophanes radicans,Calophanes,Acanthaceae,NA,Calophanes
309,Cephalophis leonardii,Cephalophis,Acanthaceae,NA,Cephalophis
310,Cephalophis lukei,Cephalophis,Acanthaceae,NA,Cephalophis
311,Chaetacanthus setiger,Chaetacanthus,Acanthaceae,NA,Chaetacanthus
312,Chlamydocardia buettneri,Chlamydocardia,Acanthaceae,NA,Chlamydocardia
313,Chlamydocardia subrhomboidea,Chlamydocardia,Acanthaceae,NA,Chlamydocardia
314,Crabbea albolutea,Crabbea,Acanthaceae,NA,Crabbea
315,Crabbea angustifolia,Crabbea,Acanthaceae,NA,Crabbea
316,Crabbea hirsuta,Crabbea,Acanthaceae,NA,Crabbea
317,Crabbea kaessneri,Crabbea,Acanthaceae,NA,Crabbea
318,Crabbea nana,Crabbea,Acanthaceae,NA,Crabbea
319,Crabbea velutina,Crabbea,Acanthaceae,NA,Crabbea
320,Crossandra arenicola,Crossandra,Acanthaceae,NA,Crossandra
321,Crossandra baccafinii,Crossandra,Acanthaceae,NA,Crossandra
322,Crossandra cephalostachya,Crossandra,Acanthaceae,NA,Crossandra
323,Crossandra flava,Crossandra,Acanthaceae,NA,Crossandra
324,Crossandra friesiorum,Crossandra,Acanthaceae,NA,Crossandra
325,Crossandra fruticulosa,Crossandra,Acanthaceae,NA,Crossandra
326,Crossandra greenstockii,Crossandra,Acanthaceae,NA,Crossandra
327,Crossandra horrida,Crossandra,Acanthaceae,NA,Crossandra
328,Crossandra infundibuliformis,Crossandra,Acanthaceae,NA,Crossandra
329,Crossandra leucodonta,Crossandra,Acanthaceae,NA,Crossandra
330,Crossandra massaica,Crossandra,Acanthaceae,NA,Crossandra
331,Crossandra mucronata,Crossandra,Acanthaceae,NA,Crossandra
332,Crossandra nilotica,Crossandra,Acanthaceae,NA,Crossandra
333,Crossandra obanensis,Crossandra,Acanthaceae,NA,Crossandra
334,Crossandra puberula,Crossandra,Acanthaceae,NA,Crossandra
335,Crossandra pungens,Crossandra,Acanthaceae,NA,Crossandra
336,Crossandra pyrophila,Crossandra,Acanthaceae,NA,Crossandra
337,Crossandra spinosa,Crossandra,Acanthaceae,NA,Crossandra
338,Crossandra stenostachya,Crossandra,Acanthaceae,NA,Crossandra
339,Crossandra subacaulis,Crossandra,Acanthaceae,NA,Crossandra
340,Crossandra tridentata,Crossandra,Acanthaceae,NA,Crossandra
341,Crossandrella adamii,Crossandrella,Acanthaceae,NA,Crossandrella
342,Crossandrella cristalensis,Crossandrella,Acanthaceae,NA,Crossandrella
343,Crossandrella dusenii,Crossandrella,Acanthaceae,NA,Crossandrella
344,Dicliptera aculeata,Dicliptera,Acanthaceae,NA,Dicliptera
345,Dicliptera albicaulis,Dicliptera,Acanthaceae,NA,Dicliptera
346,Dicliptera alternans,Dicliptera,Acanthaceae,NA,Dicliptera
347,Dicliptera betonicoides,Dicliptera,Acanthaceae,NA,Dicliptera
348,Dicliptera brevispicata,Dicliptera,Acanthaceae,NA,Dicliptera
349,Dicliptera capitata,Dicliptera,Acanthaceae,NA,Dicliptera
350,Dicliptera carvalhoi,Dicliptera,Acanthaceae,NA,Dicliptera
351,Dicliptera clinopodia,Dicliptera,Acanthaceae,NA,Dicliptera
352,Dicliptera colorata,Dicliptera,Acanthaceae,NA,Dicliptera
353,Dicliptera eenii,Dicliptera,Acanthaceae,NA,Dicliptera
354,Dicliptera elliotii,Dicliptera,Acanthaceae,NA,Dicliptera
355,Dicliptera foetida,Dicliptera,Acanthaceae,NA,Dicliptera
356,Dicliptera gillilandiorum,Dicliptera,Acanthaceae,NA,Dicliptera
357,Dicliptera grandiflora,Dicliptera,Acanthaceae,NA,Dicliptera
358,Dicliptera hensii,Dicliptera,Acanthaceae,NA,Dicliptera
359,Dicliptera heterostegia,Dicliptera,Acanthaceae,NA,Dicliptera
360,Dicliptera hyalina,Dicliptera,Acanthaceae,NA,Dicliptera
361,Dicliptera inconspicua,Dicliptera,Acanthaceae,NA,Dicliptera
362,Dicliptera katangensis,Dicliptera,Acanthaceae,NA,Dicliptera
363,Dicliptera laxata,Dicliptera,Acanthaceae,NA,Dicliptera
364,Dicliptera laxispica,Dicliptera,Acanthaceae,NA,Dicliptera
365,Dicliptera leonotis,Dicliptera,Acanthaceae,NA,Dicliptera
366,Dicliptera maculata,Dicliptera,Acanthaceae,NA,Dicliptera
367,Dicliptera melleri,Dicliptera,Acanthaceae,NA,Dicliptera
368,Dicliptera minor,Dicliptera,Acanthaceae,NA,Dicliptera
369,Dicliptera nemorum,Dicliptera,Acanthaceae,NA,Dicliptera
370,Dicliptera obanensis,Dicliptera,Acanthaceae,NA,Dicliptera
371,Dicliptera paniculata,Dicliptera,Acanthaceae,NA,Dicliptera
372,Dicliptera pumila,Dicliptera,Acanthaceae,NA,Dicliptera
373,Dicliptera rogersii,Dicliptera,Acanthaceae,NA,Dicliptera
374,Dicliptera silvestris,Dicliptera,Acanthaceae,NA,Dicliptera
375,Dicliptera swynnertonii,Dicliptera,Acanthaceae,NA,Dicliptera
376,Dicliptera transvaalensis,Dicliptera,Acanthaceae,NA,Dicliptera
377,Dicliptera verticillata,Dicliptera,Acanthaceae,NA,Dicliptera
378,Dicliptera vollesenii,Dicliptera,Acanthaceae,NA,Dicliptera
379,Dischistocalyx alternifolius,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
380,Dischistocalyx champluvieranus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
381,Dischistocalyx epiphyticus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
382,Dischistocalyx grandifolius,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
383,Dischistocalyx hirsutus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
384,Dischistocalyx klainei,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
385,Dischistocalyx lithicola,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
386,Dischistocalyx minimus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
387,Dischistocalyx strobilinus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
388,Dischistocalyx thunbergiiflorus,Dischistocalyx,Acanthaceae,NA,Dischistocalyx
389,Duosperma clarae,Duosperma,Acanthaceae,NA,Duosperma
390,Duosperma crenatum,Duosperma,Acanthaceae,NA,Duosperma
